source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,ps1_id,g,r,i,z,g_err,r_err,i_err,z_err,kine_prob,main_seq,multiple,bright,ra2k,de2k
330881364201704832,30.959106228230013,0.11284064,37.47033832348359,0.13214211,2.384958800837365,0.1450861,9.54976911990447,0.15808931,-11.906598158392327,0.18223752,1.0443734,17.717972,18.9129,16.623083,0.0015244020762465,0.0284018671744761,0.0074636469068346,152960309591135048,19.3516006469727,18.0764007568359,17.0534000396729,16.585599899292,0.0112579995766282,0.0064409999176859,0.0033140000887215,0.0056019998155534,0.9696666666666668,1,0,0,30.959052750670484,37.47039124168558
342740730979607808,28.69749856993524,0.090013735,37.83302606444204,0.08710515,2.342081150202554,0.10223184,9.982486343204036,0.11092167,-11.812002364282076,0.12381607,1.1015061,17.242355,18.497465,16.166817,0.0011598897872274,0.0215618651928068,0.0056535961236056,153400286974780294,18.839599609375,17.6109008789063,16.6039009094238,16.1474990844727,0.0066599999554455,0.0046410001814365,0.0022529999259859,0.0031469999812543,1.0,1,0,0,28.69744239552648,37.83307856221699
342857725888824320,29.38728202736663,0.0813949,37.54150589726131,0.078970075,2.2806360498099845,0.09902404,9.889650770806515,0.0976901,-12.117573125023815,0.1065308,1.0602846,17.193245,18.421797,16.170555,0.0010948205592316,0.0191890314418104,0.0053458488171954,153050293872550462,18.7296009063721,17.4874000549316,16.5552997589111,16.1432991027832,0.0078099998645484,0.0047909999266266,0.0018319999799132,0.0051040002144873,0.9983333333333332,1,0,0,29.387226593689736,37.54155975312891
343130232973601408,29.073242994764904,0.16911319,38.29213402242714,0.16904816,2.486363857210929,0.19726819,9.898560305196405,0.22224103,-11.518397478391256,0.25946936,1.0625733,18.279718,19.76944,17.029562,0.001895468177906,0.0490822491785782,0.0089986720360252,153950290732151215,20.1168994903564,18.8684005737305,17.5300006866455,16.9283008575439,0.0238790009170771,0.0078969998285174,0.0037440001033246,0.0058309999294579,0.719,1,0,0,29.073186942028027,38.29218521529148
343139093490405888,28.704387908036495,0.28835058,38.302866867488966,0.3187826,2.2451686363475325,0.34864277,9.756932330784846,0.33088744,-11.74804311547809,0.40663937,1.078582,19.326914,20.90973,18.080336,0.0035160695059037,0.1217226434575404,0.0201949086700423,153960287043824097,21.4409999847412,20.1476001739502,18.6014995574951,17.8850994110107,0.0642379969358444,0.0223069991916418,0.0051389997825026,0.0051569999195635,0.6316666666666667,1,0,0,28.704332649124215,38.302919081000965
343208878118701056,28.466535030286114,0.07820531,38.674694115538685,0.08938829,2.2595217395336507,0.100718014,9.812703020661615,0.109472156,-11.755738988231183,0.1169839,0.9065825,17.38333,18.549278,16.322325,0.0011670099256036,0.019327373731322,0.0052181542977858,154410284664620275,18.9202003479004,17.6980991363525,16.7367992401123,16.3055992126465,0.0096880001947283,0.0043520000763237,0.0030990000814199,0.0040299999527633,0.9963333333333332,1,0,0,28.46647916800468,38.67474636325424
342728842510050176,28.110791535935174,0.037804402,37.75091682644627,0.039813966,2.36846806141033,0.04469124,9.907066284383117,0.053564887,-11.892065509301045,0.055096414,1.0301815,15.851452,16.65957,14.963184,0.0005309360326451,0.0048439403241207,0.0020034522203801,153300281107411751,17.0025005340576,15.8781003952026,15.3480997085571,15.1103000640869,0.0063599999994039,0.0027449999470263,0.00290900003165,0.0030739998910576,1.0,1,0,0,28.11073584785711,37.75096968005766
342801272838362880,27.759483106859896,0.0659804,38.26875613311445,0.058026277,2.3023156634155892,0.07271143,10.103322445257804,0.0729218,-11.434317342654264,0.07371237,0.9146932,16.653748,17.683628,15.668328,0.0009151747005296,0.011756509404671,0.0038934645625349,153920277594203151,18.077600479126,16.81130027771,16.068000793457,15.7222003936768,0.0054600001312792,0.0034920000471174,0.0020310000982135,0.0046600000932812,1.0,1,0,0,27.759425913033407,38.26880695228876
342912254793586688,29.132593693005983,0.047616467,37.74945795173284,0.04290087,2.175141451792974,0.056951508,9.793972353543287,0.059360236,-11.620240181799527,0.06591885,0.9153562,16.19701,17.07611,15.267048,0.000671040587086,0.0067866811166736,0.0027019410718313,153300291325720005,17.4804000854492,16.2679004669189,15.6493997573853,15.3849000930786,0.008271999657154,0.0024820000398904,0.0020560000557452,0.0055040000006556,1.0,1,0,0,29.132538641720384,37.74950959723196
342501793358845824,28.63889676802156,0.10269855,37.28579959205882,0.11369443,2.191680456692254,0.11579612,9.128105560462563,0.1402546,-11.496155438223091,0.17761727,1.0826252,17.649944,19.071644,16.502949,0.0013643218776679,0.0305339819375432,0.0064453601363697,152740286388083585,19.3560009002686,18.1016998291016,16.9507999420166,16.4120006561279,0.023657999932766,0.0069470000453293,0.0020769999828189,0.0097049996256828,0.959,1,0,0,28.638845777348077,37.28585068607206
